Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
SPX,7675.0,-258433473.1880058,1752.454973371803,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7680.0,17350186.70650308,1128.120402279262,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7685.0,30248957.112456664,494.135183734735,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7690.0,108877431.25307545,825.0929777957107,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7695.0,-9081782.349410333,396.76688004170535,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7700.0,-1152036230.1831782,6839.537264867515,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7705.0,85239764.67146291,331.8368022851521,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7710.0,98854823.77004075,603.8638867896987,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7715.0,35871390.663252294,280.33905668282284,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7720.0,163529195.68457705,792.1815555094732,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7725.0,-106643158.16247617,1461.595784741009,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7730.0,35984610.08703174,498.44428502122406,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7735.0,58850081.64249817,150.82443401800998,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7740.0,124395948.1791985,559.3778957062955,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
SPX,7745.0,34754566.23760906,130.14045674425037,0.0,0.0,0.0,0.0,0.0,0.0,7705.406691615357,7580.693308384643,7767.763383230715,7518.336616769286,SEP26,SEP26,2026-09-02,2026-09-18,7643.05,7722.373357823505,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;SEP28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=PUT_CALL_PARITY,SEP26=7643.05;OCT26=7709.375;DEC26=7774.5;NOV26=7708.25;JAN27=7780.5;MAR27=7842.75;FEB27=7781.25;APR27=7860.75;AUG27=7959.5;JUL27=7946.625;JUN27=7913.25;MAY27=7866.25;SEP27=7988.75;DEC29=8605.625;DEC27=8012.375;MAR28=8103.5;DEC28=8294.75;SEP28=2416.5;DEC30=9064.875;JUN28=8198.875,SEP28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-09-11,6,380,0.0,NONE,11412,10956,456,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-09-01
