Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
NAS,29125.0,-313022.8535215858,0.03719288345096789,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29130.0,-4048.92019931536,0.00042759370022757025,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29140.0,-24542.94335116873,0.0025919028890162865,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29150.0,-2492249.08885055,0.34280629665024637,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29170.0,-64657.50796256895,0.0068260646376659025,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29175.0,-1055983.777907392,0.11549157672911066,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29180.0,-37655.856989432585,0.003974452098443415,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29190.0,-17757.79585187149,0.0018753448481082595,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29200.0,-4109362.928137184,1.4393180130442946,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29210.0,-153790.62330051017,0.016228024275643627,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29220.0,-122275.04498344084,0.012910363025131115,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29225.0,-1099483.8591791184,0.11604526091014304,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29230.0,-53730.123496840904,0.005671790934322484,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29240.0,-111426.2015729615,0.011760640566187558,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
NAS,29250.0,-12651122.779930066,1.943967428208717,0.0,0.0,0.0,0.0,0.0,0.0,31097.76071498286,30471.23928501714,31411.021429965713,30157.978570034287,DEC26,SEP26,2026-09-23,2026-12-18,30784.5,29969.045028362125,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;NOV26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;SEP27=SERIES_FORWARD_CLUSTER;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=30784.5;OCT26=30771.875;DEC29=30567.375;DEC26=25293.875;NOV26=31207.875;MAR27=27605.375;JUN27=24447;DEC27=21051.75;SEP27=36072.5,DEC28=GLOBAL_REFERENCE_NO_OBSERVATION;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_NO_OBSERVATION;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-30,6,120,0.0,NONE,5139,4967,0,0,165,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-21
