Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
XAU,3315.0,-14618.617603096105,0.07088652768265141,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3320.0,-35845.42810105061,0.17382904361776724,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3325.0,-64497.08589300755,0.31460665205157373,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3330.0,-36608.397035519876,0.17326832096800213,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3335.0,-18931.49948017125,0.09200584154992703,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3340.0,-11220.660260803195,0.0551415896108496,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3345.0,-18073.510505290196,0.08812428183401827,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3350.0,-703353.8244974014,3.391960057901594,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3355.0,-6387.859154026853,0.031160800222489737,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3360.0,-63943.208290963026,0.3113222824735948,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3365.0,-23165.091716853585,0.11304961501650594,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3370.0,-62205.76638635975,0.29120116275749813,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3375.0,-531464.2363622045,2.565880190651661,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3380.0,-115321.91235843256,0.5514748571686763,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
XAU,3385.0,-69136.81150231381,0.3352195318289193,0.0,0.0,0.0,0.0,0.0,0.0,4553.927778177163,4468.672221822837,4596.555556354327,4426.044443645674,DEC26,AUG26,2026-08-21,2026-11-23,4511.3,4140.435712345343,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;IV_STATIC_FALLBACK:NO_VALID_IMPLIED_VOL,2026-08-02.2,PUT_CALL_PARITY,AUG26,SEP26=PUT_CALL_PARITY;AUG26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=SERIES_FORWARD_CLUSTER;AUG27=SERIES_FORWARD_CLUSTER;SEP27=SERIES_FORWARD_CLUSTER;DEC28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY;FEB28=SERIES_FORWARD_CLUSTER,SEP26=4511.2;AUG26=4511.3;OCT26=4510.9;DEC26=4544.6;NOV26=4544.3;OCT27=5000.2;JAN27=4580;JUN27=4645.85;FEB27=4581.1;MAR27=4614;APR27=4612;MAY27=4645.25;DEC27=4765.8;JUL27=5014.9;AUG27=4930.1;SEP27=5394.7;DEC28=5323;JAN28=5610.2;FEB28=3786,JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,STATIC_FALLBACK,2026-08-27,5,98,0.0,NO_VALID_IMPLIED_VOL,5955,5772,0,0,182,NONE,NONE,OK,NONE,NONE,2026-08-19
