Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
NAS,28910.0,694631.04645703,0.6954417307800089,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,28920.0,8846622.94430437,1.6084643361060853,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,28925.0,-3369916.887245122,2.5648714733332674,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,28930.0,3872647.4340244243,0.8005186122480561,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,28940.0,8307339.6349454075,1.5211839706804053,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,28950.0,-16481231.48659482,5.430736843408464,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,28960.0,10501335.462034972,1.9243337916015533,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,28970.0,-7109286.648209064,2.6488477213579467,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,28975.0,-12049412.456707658,2.7927647866892618,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,28980.0,-10188901.709393159,2.488095556798639,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,28990.0,-764237.2441348108,2.2445248873633643,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,29000.0,-19520672.96252164,61.30134649866018,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,29010.0,5044529.614038176,1.0558105014254906,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,29020.0,-77837.41949240421,0.9886792159824885,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
NAS,29025.0,-2390397.5784500404,2.927209641810709,0.0,0.0,0.0,0.0,0.0,0.0,29374.19813772442,28798.80186227558,29661.896275448835,28511.103724551165,SEP26,SEP26,2026-09-18,2026-09-18,29086.5,29126.870470439357,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,SEP26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;NOV26=SERIES_FORWARD_CLUSTER;OCT26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUN29=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY,SEP26=29086.5;DEC26=19926.75;NOV26=30563.6875;OCT26=29265.5;DEC29=29077.1;MAR27=26109;JUN27=22947.625;DEC28=19738.625;DEC27=20858.75;JUN29=47456.5,DEC26=GLOBAL_REFERENCE_OUTLIER_PUT_CALL_PARITY;JUN27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JUN29=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC30=GLOBAL_REFERENCE_NO_OBSERVATION,WEIGHTED_ATM,2026-09-25,6,108,0.0,NONE,4933,4926,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-09-16
